,emotion,voc_channel,modality,intensity,actors,phrase,path
0,neutral,speech,audio only,normal,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-01-01-01-01-01.wav
1,neutral,speech,audio only,normal,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-01-01-01-02-01.wav
2,neutral,speech,audio only,normal,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-01-01-02-01-01.wav
3,neutral,speech,audio only,normal,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-01-01-02-02-01.wav
4,calm,speech,audio only,normal,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-01-01-01-01.wav
5,calm,speech,audio only,normal,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-01-01-02-01.wav
6,calm,speech,audio only,normal,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-01-02-01-01.wav
7,calm,speech,audio only,normal,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-01-02-02-01.wav
8,calm,speech,audio only,strong,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-02-01-01-01.wav
9,calm,speech,audio only,strong,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-02-01-02-01.wav
10,calm,speech,audio only,strong,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-02-02-01-01.wav
11,calm,speech,audio only,strong,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-02-02-02-02-01.wav
12,happy,speech,audio only,normal,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-03-01-01-01-01.wav
13,happy,speech,audio only,normal,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-03-01-01-02-01.wav
14,happy,speech,audio only,normal,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-03-01-02-01-01.wav
15,happy,speech,audio only,normal,male,Dogs are sitting by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-03-01-02-02-01.wav
16,happy,speech,audio only,strong,male,Kids are talking by the door,C:\Users\mary-\PycharmProjects\emotion\Emotion_Recognition\data\data\Actor_01\03-01-03-02-01-01-01.wav
